"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"1001","26_5_1500_8",5,1500,8,0.666666666666667,0.0346154043589743,0.090000015,0.0134615461258741,5.98983352151361e-06,13.1981917069222,40,1001,0.052837869906799,0.496993029272727,5.940000303,0.0012127370140067,1.21256162207486
"1002","26_5_2000_0",5,2000,0,0.75,0.0299999914708624,0,0.0116666633379953,9.13219469622639e-06,5.86691435163791,45,1002,0.00714286558404169,0.369020958675991,4.589999956,1.23214080623085,-1.23182774516642
"1003","26_6_1000_0",6,1000,0,1.03333333333333,0.0268531348811189,0,0.0104428857715618,6.50315416368397e-05,8.12497530789527,62,1003,0.0318237102139644,0.132587416862471,4.049999826,-1.22971533220284,-1.23182774516642
"1004","26_6_1000_4",6,1000,4,0.733333333333333,0.0274824966923077,0.089999847,0.0106876375104895,4.25187530227189e-06,9.7337974201624,44,1004,0.044595698590452,0.105104878277389,2.699999772,-1.22971533220284,-0.00963306154577855
"1005","26_6_1000_8",6,1000,8,0.45,0.0356643219487179,-0.089999847,0.0138694585687646,-0.000105952166261414,11.4674447166805,27,1005,0.0623074958666773,0.248181791272727,5.670000091,-1.22971533220284,1.21256162207486
"1006","26_6_1500_8",6,1500,8,0.566666666666667,0.0339859926293706,0,0.0132167748671329,-4.53945623434815e-05,12.3994645685667,34,1006,0.04624119947452,0.154615388016317,2.339999923,0.0012127370140067,1.21256162207486
"1007","26_7_1000_4",7,1000,4,0.333333333333333,0.0367132893799533,0,0.0142773903263403,-1.85058277533956e-06,6.53328821480105,20,1007,0.0197628897073703,0.886992981146853,8.010000139,-1.22971533220284,-0.00963306154577855
"1008","26_7_1000_8",7,1000,8,0.35,0.0304195819463869,0,0.0118298373962704,-2.41299759977109e-05,10.6672864381238,21,1008,0.0537844151377599,0.438881137636364,4.410000052,-1.22971533220284,1.21256162207486
"1009","26_7_1500_4",7,1500,4,0.283333333333333,0.0318880765384615,0,0.0124009185874126,-2.52336224876581e-05,6.13346979939603,17,1009,0.0104305306620707,0.305244737601399,2.339999881,0.0012127370140067,-0.00963306154577855
"1010","26_7_2000_4",7,2000,4,0.333333333333333,0.0297902029533799,0,0.0115850788438228,-4.3081913111559e-06,6.53257674168233,20,1010,0.00908468126502832,0.225944032421911,2.070000172,1.23214080623085,-0.00963306154577855
"1011","26_8_1000_4",8,1000,4,0.75,0.0274825450862471,0.090000182,0.0106876564172494,3.91873984606494e-06,9.86770215546652,45,1011,0.0458835994165094,0.168251754780886,4.949999303,-1.22971533220284,-0.00963306154577855
"1012","26_8_1500_0",8,1500,0,1.2,0.0264335709230769,-0.540000089,0.0102797218461538,-0.00292554416365021,9.46624457357432,72,1012,0.0233398226791958,0.211258750076923,2.159999977,0.0012127370140067,-1.23182774516642
"1013","26_8_1500_4",8,1500,4,1.23333333333333,0.0211889103636364,0,0.00824013185780885,-0.000182336348837353,13.7330547291185,74,1013,0.0572688740497522,0.215034885,5.490000397,0.0012127370140067,-0.00963306154577855
"1014","26_8_2000_4",8,2000,4,0.716666666666667,0.0406992761328671,0.089999847,0.0158274962027972,2.76690310797509e-06,9.59977324503015,43,1014,0.0185415922348488,0.113496506911422,1.709999987,1.23214080623085,-0.00963306154577855
"1015","26_8_2000_8",8,2000,8,0.766666666666667,0.0281119122400932,0,0.0109324103053613,-8.47066225826421e-05,13.9968674586395,46,1015,0.0395694583617442,0.14223774181352,1.61999993,1.23214080623085,1.21256162207486
"1016","26_9_1000_0",9,1000,0,0.55,0.0299999779580419,0,0.011666658030303,6.96330922317356e-06,4.26530165140109,33,1016,0.0082016807946518,0.219440560610723,1.889999975,-1.22971533220284,-1.23182774516642
"1017","26_9_1500_4",9,1500,4,0.7,0.0304195827132867,0.090000004,0.0118298378228438,-7.50835594115484e-06,9.46796186382784,42,1017,0.0263285134157495,0.103216783965035,1.889999954,0.0012127370140067,-0.00963306154577855
"1018","26_9_2000_0",9,2000,0,0.733333333333333,0.0356643485547785,0,0.0138694688554779,3.71378974954872e-05,5.73263432233222,44,1018,0.00731385240515215,0.103216793659674,0.71999995,1.23214080623085,-1.23182774516642
"1019","26_9_2000_4",9,2000,4,0.466666666666667,0.0281118919020979,-0.180000113,0.0109324023846154,-0.000893413245072416,7.59989219722439,28,1019,0.0108534344163397,0.152517486079254,2.699999772,1.23214080623085,-0.00963306154577855
"1020","27_1_1000_0",1,1000,0,0.55,0.0392307755524475,-0.270000044,0.0152564126899767,-0.00177239220671949,4.25850480268226,33,1020,0.00972464839327815,0.488601411191142,4.500000151,-1.22971533220284,-1.23182774516642
"1021","27_1_2000_4",1,2000,4,0.6,0.0400699662750582,0,0.0155827646526806,1.14755532893973e-05,8.66708105340804,36,1021,0.0149689395687495,0.7099300582331,6.660000086,1.23214080623085,-0.00963306154577855
"1022","27_10_2000_4",10,2000,4,0.0166666666666667,0.0251748385174796,0,0.00979021504894991,0,4,1,1022,0.00447339372590163,0.415594392899767,10.07999998,1.23214080623085,-0.00963306154577855
"1023","27_10_2000_8",10,2000,8,0.766666666666667,0.0392307698764568,-3.329999708,0.0152564103822844,-0.00477835353787182,13.9992244603884,46,1023,0.0346021724926859,1.32293701738229,12.23999999,1.23214080623085,1.21256162207486
"1024","27_11_1000_0",11,1000,0,0.55,0.0683916024615384,0,0.0265967342890443,-2.71800193119009e-06,4.26621861405153,33,1024,0.00818514687211738,0.310279728538462,2.700000107,-1.22971533220284,-1.23182774516642
"1025","27_11_1000_8",11,1000,8,0.533333333333333,0.0287412634918414,0,0.011177158053613,-1.71444220904426e-05,12.1334324076835,32,1025,0.0700571817156416,0.369440573470863,3.69000027,-1.22971533220284,1.21256162207486
"1026","27_12_1500_8",12,1500,8,0.45,0.0623076678251748,0,0.0242307596783216,2.2390856000809e-05,11.4654426935423,27,1026,0.0392950550840851,0.990839185715618,12.33000001,0.0012127370140067,1.21256162207486
"1027","27_12_2000_0",12,2000,0,0.5,0.0786713379743589,0,0.0305944092400932,-1.38524398443085e-05,3.8669863713017,30,1027,0.00410201350541277,0.451888129335664,5.039999988,1.23214080623085,-1.23182774516642
