"","radius","startingpos","total"
"1",1000,0,337
"2",1000,4,334
"3",1000,8,336
"4",1500,0,342
"5",1500,4,343
"6",1500,8,352
"7",2000,0,331
"8",2000,4,331
"9",2000,8,344
