"","heading","startingpos","frame","x","z"
"1",1,0,1,0,0
"2",1,0,2,-0.0023371733091681,0.134118448036994
"3",1,0,3,-0.00467048721266592,0.267565141778325
"4",1,0,4,-0.00699181753007353,0.400394617048804
"5",1,0,5,-0.00931769505715264,0.533744106874529
"6",1,0,6,-0.011648552295717,0.667093192491589
"7",1,0,7,-0.0139774593054369,0.800482401027117
"8",1,0,8,-0.0162882348916291,0.932857911757189
"9",1,0,9,-0.0186137844154445,1.06585263242569
"10",1,0,10,-0.0209398553807287,1.19909389973216
"11",1,0,11,-0.023272927436344,1.33242732019232
"12",1,0,12,-0.0255999452715673,1.46561124817025
"13",1,0,13,-0.0279324440339687,1.59888424008578
"14",1,0,14,-0.0302611565136401,1.73216185164499
"15",1,0,15,-0.0325929756408708,1.86538798106416
"16",1,0,16,-0.034924381578703,1.99870014189535
"17",1,0,17,-0.0372609279271124,2.13198096539554
"18",1,0,18,-0.0395902375880839,2.26522257406241
"19",1,0,19,-0.0419249346807327,2.39848896702031
"20",1,0,20,-0.0442587983525758,2.53179136719342
"21",1,0,21,-0.0465938190616988,2.66509822489974
"22",1,0,22,-0.0489340027769698,2.79832704584858
"23",1,0,23,-0.0512671235850591,2.93159188598558
"24",1,0,24,-0.0535973165246154,3.06483108772733
"25",1,0,25,-0.0559319596208441,3.19812697868034
"26",1,0,26,-0.0582646166574976,3.33139528670383
"27",1,0,27,-0.060587456288513,3.46471102181366
"28",1,0,28,-0.0629070698939747,3.59795043653564
"29",1,0,29,-0.0652185736008071,3.73121300417674
"30",1,0,30,-0.0675237376374629,3.86446535375355
"31",1,0,31,-0.0698139615790139,3.9978095312262
"32",1,0,32,-0.0720912801154742,4.13111893370283
"33",1,0,33,-0.0743430066419167,4.26438129460419
"34",1,0,34,-0.0765807891061616,4.3977839033972
"35",1,0,35,-0.0787908515326375,4.53097120966123
"36",1,0,36,-0.0809675556692823,4.66415707246156
"37",1,0,37,-0.0831147465937701,4.79744730984706
"38",1,0,38,-0.0852193198242545,4.93072040939055
"39",1,0,39,-0.0872817231630049,5.06395433248754
"40",1,0,40,-0.0893040684079491,5.19729416438048
"41",1,0,41,-0.0912644624817318,5.33047440863557
"42",1,0,42,-0.0931748083752271,5.46379079219476
"43",1,0,43,-0.0950241433628308,5.59708287874515
"44",1,0,44,-0.0968070751054075,5.73033376682773
"45",1,0,45,-0.0985258010032399,5.86356550177138
"46",1,0,46,-0.100175714144887,5.99694779080214
"47",1,0,47,-0.101755206794121,6.13018345358562
"48",1,0,48,-0.103255036241913,6.2634043317622
"49",1,0,49,-0.104678131267723,6.39673137470897
"50",1,0,50,-0.106022845041813,6.52999902272742
"51",1,0,51,-0.107284500749631,6.66328788283039
"52",1,0,52,-0.108469533995442,6.79675842381681
"53",1,0,53,-0.109571664011766,6.92991297576912
"54",1,0,54,-0.110585513956381,7.06308133644098
"55",1,0,55,-0.111510939650043,7.19642718036697
"56",1,0,56,-0.112353115716476,7.32969435682962
"57",1,0,57,-0.113109736464467,7.46303332071802
"58",1,0,58,-0.113778235135335,7.59623342446226
"59",1,0,59,-0.114364264939429,7.72946092893272
"60",1,0,60,-0.114860695364879,7.86281112088886
"61",1,0,61,-0.115276331309019,7.99611923899652
"62",1,0,62,-0.115603552020274,8.12936674807435
"63",1,0,63,-0.115846519067557,8.26265636510686
"64",1,0,64,-0.116008922628078,8.39598759805769
"65",1,0,65,-0.116092121645291,8.52927088341362
"66",1,0,66,-0.116093117956391,8.66251066191593
"67",1,0,67,-0.116017132951266,8.79578560160397
"68",1,0,68,-0.115865899026469,8.92905629309876
"69",1,0,69,-0.11563485890373,9.06234971632418
"70",1,0,70,-0.115337352268393,9.19564129030034
"71",1,0,71,-0.114969036917127,9.32889096917555
"72",1,0,72,-0.114538499502595,9.46218553456811
"73",1,0,73,-0.114039858375048,9.59550172133419
"74",1,0,74,-0.113475677331696,9.72875322194182
"75",1,0,75,-0.112856328084211,9.86205956828909
"76",1,0,76,-0.112179230676809,9.99535043445892
"77",1,0,77,-0.111446473547266,10.1285669390607
"78",1,0,78,-0.110669023090414,10.2618734748593
"79",1,0,79,-0.109839566246932,10.3953176895973
"80",1,0,80,-0.108960427573548,10.5287031648083
"81",1,0,81,-0.108040334264536,10.6617437449536
"82",1,0,82,-0.107084181283189,10.7949344880134
"83",1,0,83,-0.106085822201894,10.9282269433256
"84",1,0,84,-0.105053335055929,11.061488104553
"85",1,0,85,-0.103991029444832,11.1947913985213
"86",1,0,86,-0.102892856317436,11.3280520757528
"87",1,0,87,-0.10176884342296,11.4613430042166
"88",1,0,88,-0.100614678916892,11.5946020692872
"89",1,0,89,-0.0994389903811661,11.7278831718116
"90",1,0,90,-0.0982365257642862,11.8611180901769
"91",1,0,91,-0.097019266816616,11.9944814530233
"92",1,0,92,-0.0957876806946214,12.1277463788773
"93",1,0,93,-0.0945361510790027,12.2610033661507
"94",1,0,94,-0.0932711538825577,12.3942501200527
"95",1,0,95,-0.0919953746548078,12.5275567316545
"96",1,0,96,-0.0907089425306976,12.6608023619147
"97",1,0,97,-0.0894182717736391,12.7940791803863
