"","heading","frame","roadX","roadZ","heading_rads"
"1",0.5,1,0,0,0.00872664625997165
"2",0.5,2,-0.00116546892967489,0.13353934091311,0.00872664625997165
"3",0.5,3,-0.00232684142849645,0.266609313092038,0.00872664625997165
"4",0.5,4,-0.00349043130521162,0.399933352260594,0.00872664625997165
"5",0.5,5,-0.00465410371607467,0.533266848185509,0.00872664625997165
"6",0.5,6,-0.00581728794625192,0.666544408404744,0.00872664625997165
"7",0.5,7,-0.00697812694755454,0.799553252478714,0.00872664625997165
"8",0.5,8,-0.0081407306183977,0.932764292253808,0.00872664625997165
"9",0.5,9,-0.00930445110509911,1.06610329670461,0.00872664625997165
"10",0.5,10,-0.0104678075519541,1.19940058949762,0.00872664625997165
"11",0.5,11,-0.0116311930684296,1.33270121308553,0.00872664625997165
"12",0.5,12,-0.0127940377648186,1.46593986954925,0.00872664625997165
"13",0.5,13,-0.0139576146563291,1.59926242087405,0.00872664625997165
"14",0.5,14,-0.0151213097781037,1.73259851901347,0.00872664625997165
"15",0.5,15,-0.0162841434790031,1.86583591561484,0.00872664625997165
"16",0.5,16,-0.0174476032279884,1.99914504475804,0.00872664625997165
"17",0.5,17,-0.0186110148638931,2.13244866110816,0.00872664625997165
"18",0.5,18,-0.019774369704514,2.26574576985898,0.00872664625997165
"19",0.5,19,-0.0209377639406591,2.39904739254598,0.00872664625997165
"20",0.5,20,-0.0221013763017212,2.53237400796929,0.00872664625997165
"21",0.5,21,-0.0232651322839557,2.66571707949555,0.00872664625997165
"22",0.5,22,-0.0244284312851923,2.799007790174,0.00872664625997165
"23",0.5,23,-0.0255929043132357,2.93243302075426,0.00872664625997165
"24",0.5,24,-0.0267558516259864,3.06568343499287,0.00872664625997165
"25",0.5,25,-0.0279184131387252,3.19888964429559,0.00872664625997165
"26",0.5,26,-0.0290836584550405,3.33240336360705,0.00872664625997165
"27",0.5,27,-0.0302461115778849,3.46559715360394,0.00872664625997165
"28",0.5,28,-0.0314093738968473,3.59888366123021,0.00872664625997165
"29",0.5,29,-0.0325723757091665,3.73214032002521,0.00872664625997165
"30",0.5,30,-0.0337359200539712,3.86545914215094,0.00872664625997165
"31",0.5,31,-0.03489927130782,3.99875583992971,0.00872664625997165
"32",0.5,32,-0.0360629857266919,4.13209414912906,0.00872664625997165
"33",0.5,33,-0.037226580233197,4.2654187187786,0.00872664625997165
"34",0.5,34,-0.0383898571998889,4.3987069047406,0.00872664625997165
"35",0.5,35,-0.0395535465894802,4.53204234608689,0.00872664625997165
"36",0.5,36,-0.0407170875177995,4.66536077675199,0.00872664625997165
"37",0.5,37,-0.0418806046802345,4.79867648432388,0.00872664625997165
"38",0.5,38,-0.0430441603372694,4.93199660260409,0.00872664625997165
"39",0.5,39,-0.0442073895145718,5.06527931286148,0.00872664625997165
"40",0.5,40,-0.0453707877210764,5.19858139047196,0.00872664625997165
"41",0.5,41,-0.0465340117196428,5.33186350735019,0.00872664625997165
"42",0.5,42,-0.0476971494321187,5.46513573757476,0.00872664625997165
"43",0.5,43,-0.0488605711770081,5.59844051221156,0.00872664625997165
"44",0.5,44,-0.0500238755108611,5.73173183390079,0.00872664625997165
"45",0.5,45,-0.0511878531105579,5.86510029833896,0.00872664625997165
"46",0.5,46,-0.0523514296933479,5.99842281429059,0.00872664625997165
"47",0.5,47,-0.0535146121456423,6.13170017080013,0.00872664625997165
"48",0.5,48,-0.0546774221781988,6.26493485548458,0.00872664625997165
"49",0.5,49,-0.0558409695220342,6.39825402123902,0.00872664625997165
"50",0.5,50,-0.0570043577112944,6.5315549510744,0.00872664625997165
"51",0.5,51,-0.0581674863249807,6.66482613876035,0.00872664625997165
"52",0.5,52,-0.0593305276060763,6.79808731988474,0.00872664625997165
"53",0.5,53,-0.0604939893916112,6.93139668237564,0.00872664625997165
"54",0.5,54,-0.0616573918897037,7.06469925171593,0.00872664625997165
"55",0.5,55,-0.0628207801695274,7.19800019192806,0.00872664625997165
"56",0.5,56,-0.0639841993055333,7.3313046676392,0.00872664625997165
"57",0.5,57,-0.0651469181114186,7.46452889957862,0.00872664625997165
"58",0.5,58,-0.0663107860786163,7.59788480233342,0.00872664625997165
"59",0.5,59,-0.067474141746599,7.7311820058833,0.00872664625997165
"60",0.5,60,-0.0686373287657781,7.86445988566616,0.00872664625997165
"61",0.5,61,-0.0698011809982302,7.997813985535,0.00872664625997165
"62",0.5,62,-0.0709640036728971,8.13105011875149,0.00872664625997165
"63",0.5,63,-0.0721277969247203,8.26439746062439,0.00872664625997165
"64",0.5,64,-0.0732910175283014,8.39767918850546,0.00872664625997165
"65",0.5,65,-0.0744545222107326,8.53099346611946,0.00872664625997165
"66",0.5,66,-0.0756175768595327,8.66425617891441,0.00872664625997165
"67",0.5,67,-0.076781331985068,8.79759915228015,0.00872664625997165
"68",0.5,68,-0.0779444641441773,8.93087074620039,0.00872664625997165
"69",0.5,69,-0.0791078679996823,9.0641734710729,0.00872664625997165
"70",0.5,70,-0.0802721390289365,9.19757555664734,0.00872664625997165
"71",0.5,71,-0.081434780853606,9.33079096808493,0.00872664625997165
"72",0.5,72,-0.0825979125169774,9.46406250520357,0.00872664625997165
"73",0.5,73,-0.083761330088372,9.59736680164167,0.00872664625997165
"74",0.5,74,-0.0849244362335681,9.73063541488973,0.00872664625997165
"75",0.5,75,-0.0860881518297064,9.86397385898018,0.00872664625997165
"76",0.5,76,-0.0872513669547193,9.99725495912732,0.00872664625997165
"77",0.5,77,-0.0884146179998611,10.1305401750001,0.00872664625997165
