"","frame","x","z","timestamp","radius","startingpos","X","steeringbias"
"1",9,0,1.0661329958174,0.15,1000,0,1,0.000443513793949171
"2",9,0,5.0661329958174,0.15,1000,4,2,0.0116816454276358
"3",9,0,9.0661329958174,0.15,1000,8,3,0.0385408681273479
"4",9,0,1.0661329958174,0.15,1500,0,4,0.000307045270031261
"5",9,0,5.0661329958174,0.15,1500,4,5,0.00693488343964761
"6",9,0,9.0661329958174,0.15,1500,8,6,0.0239786609255599
"7",9,0,1.0661329958174,0.15,2000,0,7,0.000455558997347646
"8",9,0,5.0661329958174,0.15,2000,4,8,0.0061265426769345
"9",9,0,9.0661329958174,0.15,2000,8,9,0.0165472620628572
