"","ppid_trialn","pNum","radius","startingpos","rt","steering_rate","SWA","DiffYawRate_seconds","rotatedX","rotatedZ","frame","X","steeringbias","peak.sr","peak.swa","radius_scaled","startingpos_scaled"
"1336","32_12_1500_4",12,1500,4,0.5833333,0.03,0,0.01166667,-3.86937e-06,8.533419,35,1336,0.02110357,0.2517483,2.97,0.001212737,-0.009633062
"1337","32_2_1000_0",2,1000,0,0.4166667,0.03755243,0,0.01460372,-1.397222e-05,3.200233,25,1337,0.004584491,0.2091608,2.52,-1.229715,-1.231828
"1338","32_2_1000_8",2,1000,8,0.4,0.02097897,0,0.008158489,6.563098e-05,11.06749,24,1338,0.05809664,0.2895105,4.95,-1.229715,1.212562
"1339","32_2_1500_0",2,1500,0,0.4333333,0.02811193,0,0.01093242,-6.639336e-05,3.333166,26,1339,0.002815049,0.225105,2.25,0.001212737,-1.231828
"1340","32_2_1500_8",2,1500,8,0.6333333,0.03041957,0,0.01182983,3.729873e-05,12.93352,38,1340,0.05063974,0.1432867,2.07,0.001212737,1.212562
"1341","32_3_1500_0",3,1500,0,0.5666667,0.06335658,-4.59,0.02463867,-0.007602386,4.399998,34,1341,0.002516918,0.778951,10.98,0.001212737,-1.231828
"1342","32_3_1500_4",3,1500,4,2.966667,0.02433566,0,0.009463869,0.0003496073,27.59906,178,1342,0.2454801,0.752098,14.31,0.001212737,-0.009633062
"1343","32_3_1500_8",3,1500,8,0.7333333,0.03000002,0,0.01166667,4.796099e-06,13.73277,44,1343,0.05745358,0.5414685,6.57,0.001212737,1.212562
"1344","32_4_1000_0",4,1000,0,0.7333333,0.02349653,-0.18,0.00913754,-0.0001776815,5.733044,44,1344,0.01492319,0.6406993,7.92,-1.229715,-1.231828
"1345","32_4_1000_4",4,1000,4,0.6,0.03587411,0,0.01395104,3.874921e-05,8.667371,36,1345,0.03520942,0.7294406,9.36,-1.229715,-0.009633062
"1346","32_4_1000_8",4,1000,8,0.6,0.04636363,0,0.0180303,-3.835659e-05,12.66754,36,1346,0.07650633,0.4231468,12.6,-1.229715,1.212562
"1347","32_4_2000_4",4,2000,4,0.75,0.04951049,0,0.01925408,-1.06048e-05,9.866804,45,1347,0.01946944,0.4206294,7.56,1.232141,-0.009633062
"1348","32_5_1000_0",5,1000,0,0.9,0.03566434,0,0.01386947,0.0001317307,7.066211,54,1348,0.02331825,0.5622378,7.47,-1.229715,-1.231828
"1349","32_5_1000_4",5,1000,4,0.75,0.0440559,-0.5399998,0.01713285,-0.004698534,9.866689,45,1349,0.04114708,0.9543356,13.59,-1.229715,-0.009633062
"1350","32_5_1500_0",5,1500,0,1.2,0.03755243,-0.08999985,0.01460372,-0.00117071,9.466873,72,1350,0.02510806,0.6891609,6.21,0.001212737,-1.231828
"1351","32_5_2000_0",5,2000,0,0.6833333,0.03734263,0,0.01452213,-7.371918e-06,5.330584,41,1351,0.008013761,0.2563636,4.5,1.232141,-1.231828
"1352","32_6_1000_0",6,1000,0,1.1,0.02832172,0,0.011014,2.558615e-05,8.665976,66,1352,0.03516178,0.1235664,1.98,-1.229715,-1.231828
"1353","32_6_1000_4",6,1000,4,0.5333333,0.02055944,0.09000002,0.007995339,-6.181954e-05,8.132002,32,1353,0.03080877,0.196993,3.33,-1.229715,-0.009633062
"1354","32_6_1500_0",6,1500,0,0.6833333,0.03503496,0.08999985,0.01362471,6.281951e-07,5.334757,41,1354,0.007998497,0.1176923,2.07,0.001212737,-1.231828
"1355","32_6_1500_8",6,1500,8,0.3166667,0.02748252,0.18,0.01068765,4.991641e-05,10.39989,19,1355,0.03205192,0.2639161,3.42,0.001212737,1.212562
"1356","32_6_2000_0",6,2000,0,0.4333333,0.02874132,0,0.01117718,-3.417264e-05,3.333576,26,1356,0.00235203,0.1846155,1.8,1.232141,-1.231828
"1357","32_7_1000_8",7,1000,8,0.3833333,0.05706292,0,0.02219114,3.959735e-05,10.93423,23,1357,0.05664674,0.1854546,2.52,-1.229715,1.212562
"1358","32_7_1500_0",7,1500,0,0.4666667,0.0448951,0,0.01745921,1.405654e-05,3.599717,28,1358,0.003378823,0.1189511,1.35,0.001212737,-1.231828
"1359","32_7_1500_4",7,1500,4,0.6666667,0.02811185,0.09000018,0.01093238,7.362313e-05,9.199243,40,1359,0.02480148,0.1506294,1.17,0.001212737,-0.009633062
"1360","32_7_1500_8",7,1500,8,0.4333333,0.02559444,0,0.009953395,5.007778e-07,11.33295,26,1360,0.03831234,0.1109791,2.07,0.001212737,1.212562
"1361","32_7_2000_8",7,2000,8,0.4333333,0.04804195,0,0.01868298,-9.132442e-05,11.32796,26,1361,0.02692066,0.1032168,1.35,1.232141,1.212562
"1362","32_8_1000_0",8,1000,0,0.6333333,0.03503495,0.08999993,0.0136247,-5.781269e-05,4.934894,38,1362,0.01123749,0.1674126,3.24,-1.229715,-1.231828
"1363","32_8_1000_4",8,1000,4,0.8833333,0.0274825,0.08999985,0.01068764,-1.196545e-05,10.93414,53,1363,0.05659222,0.1338462,3.24,-1.229715,-0.009633062
"1364","32_8_1500_4",8,1500,4,0.7166667,0.02706299,0,0.0105245,-0.001112412,9.600454,43,1364,0.02595823,0.1841957,3.33,0.001212737,-0.009633062
"1365","32_8_1500_8",8,1500,8,0.9,0.02874126,0,0.01117716,5.05071e-05,15.05973,54,1365,0.0706482,0.1237762,1.35,0.001212737,1.212562
"1366","32_8_2000_8",8,2000,8,0.95,0.0237062,0,0.009219079,8.86312e-05,15.46693,57,1366,0.04797853,0.1403497,3.96,1.232141,1.212562
"1367","32_9_1000_0",9,1000,0,0.8666667,0.03041958,0,0.01182984,7.040447e-06,6.794375,52,1367,0.0219386,0.1204196,1.98,-1.229715,-1.231828
"1368","32_9_1000_8",9,1000,8,0.65,0.02181817,0.09000018,0.008484846,-3.172089e-05,13.06659,39,1368,0.08152593,0.4235664,6.57,-1.229715,1.212562
"1369","32_9_1500_0",9,1500,0,0.06666667,0.03199301,0.08999999,0.01244172,-7.932793e-06,0.4004124,4,1369,0.0005640521,0.1617483,1.71,0.001212737,-1.231828
"1370","33_1_1000_0",1,1000,0,0.5333333,0.033986,-0.09000002,0.01321678,-0.0005792297,4.133111,32,1370,0.007096892,0.4155944,2.97,-1.229715,-1.231828
"1371","33_1_1000_8",1,1000,8,0.4833333,0.05034967,0,0.01958043,2.216486e-05,11.73324,29,1371,0.06543349,0.5085314,5.85,-1.229715,1.212562
"1372","33_1_1500_8",1,1500,8,0.4166667,0.02874128,0,0.01117716,4.929107e-07,11.19948,25,1372,0.03737171,0.2003497,2.16,0.001212737,1.212562
"1373","33_1_2000_8",1,2000,8,0.5833333,0.03230771,0,0.01256411,2.075693e-05,12.53308,35,1373,0.03158518,0.3316783,2.16,1.232141,1.212562
"1374","33_10_1000_0",10,1000,0,1.15,0.02748251,0.09000018,0.01068764,3.772009e-05,9.068156,69,1374,0.03865127,0.2074825,5.49,-1.229715,-1.231828
"1375","33_10_1000_4",10,1000,4,0.4833333,0.02181817,0.08999993,0.008484843,-3.723408e-05,7.733378,29,1375,0.02783373,0.298951,5.31,-1.229715,-0.009633062
"1376","33_10_1500_8",10,1500,8,0.5833333,0.02286713,0,0.008892774,-1.705364e-06,12.53299,35,1376,0.04742466,0.3683916,6.839999,0.001212737,1.212562
"1377","33_10_2000_0",10,2000,0,0.03333333,0.04531469,0.08999999,0.01762238,1.063551e-05,0.1325809,2,1377,0.0005815997,0.607972,8.46,1.232141,-1.231828
"1378","33_11_1500_4",11,1500,4,0.7,0.03,0,0.01166667,2.433309e-05,9.466109,42,1378,0.02628877,0.4327972,3.6,0.001212737,-0.009633062
"1379","33_11_1500_8",11,1500,8,0.5833333,0.02244764,0,0.008729638,-1.762181e-05,12.53322,35,1379,0.04739696,0.3008392,3.78,0.001212737,1.212562
"1380","33_11_2000_0",11,2000,0,0.5333333,0.04321678,0,0.01680653,4.97664e-06,4.133218,32,1380,0.004655052,0.3065035,1.8,1.232141,-1.231828
"1381","33_11_2000_4",11,2000,4,0.4166667,0.07510488,0,0.02920745,-6.530762e-06,7.200251,25,1381,0.01036065,0.4627972,2.61,1.232141,-0.009633062
"1382","33_12_1000_0",12,1000,0,0.5666667,0.03041958,0,0.01182984,6.005213e-05,4.399818,34,1382,0.008801993,0.2752447,2.79,-1.229715,-1.231828
"1383","33_12_1000_4",12,1000,4,0.6166667,0.03,0.09000002,0.01166667,6.168817e-05,8.799916,37,1383,0.03631948,0.2976923,3.78,-1.229715,-0.009633062
"1384","33_12_1500_8",12,1500,8,0.5166667,0.02685315,0,0.01044289,-7.889327e-05,12.00018,31,1384,0.04312805,0.3709091,4.23,0.001212737,1.212562
"1385","33_12_2000_4",12,2000,4,0.6833333,0.03692314,0.09000018,0.014359,-6.284184e-05,9.33535,41,1385,0.01710193,0.3893706,4.05,1.232141,-0.009633062
"1386","33_2_1000_0",2,1000,0,0.4,0.02790208,0.08999985,0.01085081,-1.501327e-05,3.067491,24,1386,0.004372158,0.1823077,2.61,-1.229715,-1.231828
"1387","33_2_1000_4",2,1000,4,0.5333333,0.02811187,0,0.01093239,5.188151e-05,8.133351,32,1387,0.03093214,0.1592308,2.52,-1.229715,-0.009633062
"1388","33_2_1500_0",2,1500,0,0.5,0.04720277,0.08999985,0.01835663,6.192609e-05,3.867482,30,1388,0.004140777,0.3335664,2.88,0.001212737,-1.231828
"1389","33_2_2000_4",2,2000,4,0.6,0.03566428,0,0.01386944,-0.0001558951,8.667781,36,1389,0.01468131,0.1451748,2.34,1.232141,-0.009633062
"1390","33_2_2000_8",2,2000,8,0.4,0.02874126,0,0.01117716,1.566574e-05,11.06766,24,1390,0.0244778,0.22993,2.52,1.232141,1.212562
"1391","33_3_1000_0",3,1000,0,0.01666667,0.07993017,0.1799997,0.03108395,0,0,1,1391,0,0.7638463,5.04,-1.229715,-1.231828
"1392","33_3_1000_8",3,1000,8,0.5166667,0.03398603,-4.32,0.01321679,-0.008204984,11.99929,31,1392,0.06028913,0.545035,13.14,-1.229715,1.212562
"1393","33_3_1500_4",3,1500,4,0.4833333,0.03566436,-0.6299999,0.01386947,-0.003302959,7.732952,29,1393,0.01381189,0.4355245,3.69,0.001212737,-0.009633062
"1394","33_3_2000_4",3,2000,4,1.466667,0.02034965,0.09000002,0.007913754,2.222181e-05,15.5997,88,1394,0.04876994,0.2515385,3.78,1.232141,-0.009633062
"1395","33_3_2000_8",3,2000,8,2.433333,0.05118881,-0.6299999,0.01990676,-0.04659852,27.33307,146,1395,0.109689,1.006993,17.55,1.232141,1.212562
"1396","33_4_1000_4",4,1000,4,0.6333333,0.04048952,0.09000002,0.01574592,0.0001070602,8.933385,38,1396,0.03750458,0.5783916,8.82,-1.229715,-0.009633062
"1397","33_4_1000_8",4,1000,8,0.4833333,0.04405592,0,0.01713286,4.323917e-06,11.73384,29,1397,0.06542766,0.8358041,10.26,-1.229715,1.212562
"1398","33_5_1000_0",5,1000,0,0.9333333,0.03566433,0,0.01386946,2.768707e-05,7.332645,56,1398,0.02503154,0.3902098,5.85,-1.229715,-1.231828
"1399","33_5_1000_4",5,1000,4,1.133333,0.04489511,-0.0900001,0.01745921,-0.0003726169,12.9329,68,1399,0.07948591,0.5666434,8.64,-1.229715,-0.009633062
"1400","33_5_1000_8",5,1000,8,0.4833333,0.02055947,0,0.007995349,8.796677e-05,11.73305,29,1400,0.06549656,0.7785314,12.15,-1.229715,1.212562
"1401","33_5_2000_8",5,2000,8,0.8666667,0.0291608,-0.6299999,0.01134031,-0.007841962,14.79866,52,1401,0.03618237,0.6088112,7.65,1.232141,1.212562
"1402","33_6_1000_4",6,1000,4,0.3833333,0.03041958,0,0.01182984,6.813151e-05,6.932923,23,1402,0.02237315,0.3035664,2.79,-1.229715,-0.009633062
"1403","33_6_1500_4",6,1500,4,0.01666667,0.03020985,0.08999985,0.01174828,0,4,1,1403,0.004220784,0.142028,2.61,0.001212737,-0.009633062
"1404","33_6_1500_8",6,1500,8,0.3833333,0.03566434,0,0.01386947,2.042521e-05,10.93288,23,1404,0.03555312,0.1661538,3.87,0.001212737,1.212562
"1405","33_6_2000_0",6,2000,0,2.683333,0.02979027,0.09000018,0.01158511,-0.0002223028,21.33371,161,1405,0.09301567,0.1101399,2.16,1.232141,-1.231828
"1406","33_7_1000_0",7,1000,0,0.3833333,0.02160839,0,0.008403262,-2.714869e-06,2.931839,23,1406,0.00383458,0.2257343,1.71,-1.229715,-1.231828
"1407","33_7_1500_4",7,1500,4,0.3833333,0.03692308,-0.3600001,0.01435898,-0.0005087757,6.92706,23,1407,0.01415341,0.311958,2.52,0.001212737,-0.009633062
"1408","33_7_1500_8",7,1500,8,0.4,0.02412588,0,0.009382288,-2.87624e-05,11.0676,24,1408,0.03645487,0.3669231,2.97,0.001212737,1.212562
"1409","33_7_2000_0",7,2000,0,0.85,0.02013984,0.09000002,0.007832159,3.626778e-05,6.665366,51,1409,0.00966262,0.1174825,1.35,1.232141,-1.231828
"1410","33_7_2000_8",7,2000,8,0.35,0.02202797,0,0.008566434,-4.390171e-05,10.66705,21,1410,0.02369411,0.2341259,1.98,1.232141,1.212562
"1411","33_8_1000_0",8,1000,0,2.3,0.02811186,0,0.01093239,-0.0001180352,18.26596,138,1411,0.1599389,0.163007,4.86,-1.229715,-1.231828
"1412","33_8_1000_4",8,1000,4,0.25,0.02034965,0.08999985,0.007913753,9.033421e-07,5.866459,15,1412,0.01583556,0.1913286,5.04,-1.229715,-0.009633062
